Numero,Wiki Friendly Name,Sestiere,lat,long,street view html,Affordability,Affordability (Scaled),Well-Served, Well-Served (Scaled),Touristy,Touristy (Scaled),Congestion,Congestion (Scaled),Accessibility,Reachability,Reachability (Scaled),Green Space,Green Space (Scaled)
#,Island of _____,,,,,,,,,,,,,,,,,
11,Island of Ghetto,Cannaregio,45.445353,12.326893,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750252863510!6m8!1m7!1sCAoSF0NJSE0wb2dLRUlDQWdJRHFyYUxfcFFF!2m2!1d45.4453500047603!2d12.32689303648616!3f297.1319011842097!4f1.6271439181168859!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",3651250,6.539480061,5,0.1103752759,0.4943820225,9.293739968,0.01979891725,8.844735147,0,0,0,0.1234978696,1.323510347
12,Island of Servi,Cannaregio,45.444259,12.33118,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750252969801!6m8!1m7!1svejsnaKXSGb2nOLxGf4U4g!2m2!1d45.4439705282327!2d12.33203188658153!3f78.19251276257216!4f0.12028560328356264!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4725000,5.424397674,100,2.207505519,0,10,0.01304380608,9.238895212,0,0,0,0.4451856532,4.77099581
13,Island of San Marziale,Cannaregio,45.443598,12.333141,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750252984371!6m8!1m7!1s7XJ2r6KzdHiX-Ky9gczqkw!2m2!1d45.44354435987334!2d12.33300991151862!3f139.55225049857236!4f1.5244257407758823!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4569375,5.586013223,0,0,1.132352941,8.382352941,0.02261384903,8.680484157,0,0,0,0.08741314811,0.9367951558
14,Island of Ca'Vendramin,Cannaregio,45.443261,12.33277,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253002793!6m8!1m7!1s3hZ67ItsNT5NuUHUvrXDbw!2m2!1d45.4431610600898!2d12.33256542910511!3f136.14495369719262!4f-0.9009190788380153!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",3966666.667,6.211921905,0,0,2.93814433,5.802650957,0.04946628482,7.113647198,0,0,0,0.07774721744,0.8332066543
15,Island of San Leonardo,Cannaregio,45.44494,12.325107,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253046693!6m8!1m7!1sKpXdiEIYeK1hxeESc_yBIA!2m2!1d45.44487356059679!2d12.32577418577915!3f280.3805102444394!4f-0.9499061185221223!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4630000,5.523054556,339,7.483443709,0.928678118,8.673316974,0.02842563858,8.341366815,0,13.89285714,4.630952381,0.1153478665,1.236167841
16,Island of Maddalena,Cannaregio,45.443004,12.330536,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253066163!6m8!1m7!1sWXny0hCKxirFqe-wB6efyw!2m2!1d45.44315422791433!2d12.33117072655143!3f256.1586366315231!4f0!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4145000,6.026723899,0.5,0.01103752759,1.488888889,7.873015873,0.02795487984,8.36883554,0,0,0,0.07831606079,0.8393028733
17,Island of Santa Fosca,Cannaregio,45.442533,12.332195,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253116698!6m8!1m7!1srvqrr1I0YWe2EFO5jx4_nA!2m2!1d45.44255035318237!2d12.33241029109789!3f332.593951862722!4f-3.3004864674786347!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4270833.333,5.896046801,110,2.428256071,1.489208633,7.872559096,0.02375494895,8.61390109,0,0,0,0.01281739158,0.1373622916
18,Island of San Felice,Cannaregio,45.44213,12.333492,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253139659!6m8!1m7!1sCAoSFENJSE0wb2dLRUlDQWdJQ093YThj!2m2!1d45.44209151888576!2d12.33347382597158!3f175.36329737294255!4f-9.81636401432381!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",2860000,7.361188037,10,0.2207505519,1.744047619,7.508503401,0.03357909336,8.04066324,0,0,0,0.08097030081,0.8677480128
19,Island of Macello,Cannaregio,45.445321,12.318345,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253167119!6m8!1m7!1s2KwtZ9e8hSqJnotj0cC0vQ!2m2!1d45.44524494381543!2d12.31845871503717!3f38.60569057752923!4f-2.722482926448251!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",2957500,7.259934921,100,2.207505519,0.3218390805,9.540229885,0.008819694762,9.485371687,3.333333333,3.183333333,1.061111111,0.2242215464,2.40295268
20,Island of San Geremia,Cannaregio,45.442433,12.32075,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4646250,5.506179036,41,0.9050772627,1.637002342,7.661425226,0.008352175347,9.512651399,3.333333333,13.74507042,4.581690141,0.1344138237,1.440495185
